SongName,Artist
1985,Bowling For Soup
Ain't No Sunshine,Bill Withers
Ain't Nobody,
Alaska,Pinegrove
All Along The Watchtower,Jimi Hendrix
All I Wanna Do,Sheryl Crow
All Star // All For You,Smash Mouth // Sister Hazel
All The Small Things,Blink-182
American Girl,Tom Petty
Ants Marching,Dave Matthews Band
As It Was,Harry Styles
Atlantic City,The Band
Attention,Charlie Puth
Back To Black,Amy Winehouse
Bad Mamma Jamma,Carl Carlton
Basket Case,Green Day
Before He Cheats,Carrie Underwood
Beggin,Maneskin
Benny and the Jets,Elton John
Best Part,Daniel Caesar
Beyond,Leon Bridges
Beyond (Acoustic),Leon Bridges
Blue Sky,Allman Brothers
Born To Run,Bruce Springsteen
Brick House,Commodores
Broadway,Goo Goo Dolls
Brown Eyed Lover,Allen Stone
Brown Eyed Lover > Use Me,Allen Stone > Bill Withers
Burning Love,Elvis Presley
Burnin Up,Jonas Brothers
California Sober,Post Malone
Champagne Supernova,Oasis
Cheeseburger In Paradise,Jimmy Buffett
Chicken Fried,Zac Brown Band
Cissy Strut,The Meters
Come Praise and Glorify,
Come Together,The Beatles
Come Together > I Will Survive > Tainted,The Beatles > Gloria Gaynor > Soft Cell
Country Roads,John Denver
Courtesy of the Red White and Blue,Toby Keith
Crazy,Gnarls Barkley
Daughters,John Mayer
Dancing In The Moonlight,King Harvest
Don't Look Back In Anger,Oasis
Don't Stop Believing,Journey
Drift Away,Dobie Gray
Drops Of Jupiter,Train
Drink In My Hand,Eric Church
Drunken Driver,Ricky Skaggs
Dust On The Bottle,David Lee Murphy
Dreams // Don't You Want Me Baby,Fleetwood Mac // Human League
Espresso,Sabrina Carpenter
Everybody Wants To Rule The World,Lettuce
Everyday Is a Winding Road,Sheryl Crow
Feathered Indians,Tyler Childers
Fire And Rain,James Taylor
Flowers,Miley Cyrus
Fly Like An Eagle,Steve Miller Band
FMU,Riley Rae
Free Bird,Lynyrd Skynyrd
Frosty The Snowman,
Fuck You,CeeLo Green
Glory Days,Bruce Springsteen
Gold On The Ceiling,Black Keys
Have You Ever Seen The Rain,CCR
Heartache On The Dance Floor,Jon Pardi
Higher,Creed
Higher Ground,Stevie Wonder
Hit The Road Jack,Casey Abrams
Holding Out,Riley Rae
Hold On // I Want You Back,Alabama Shakes // Jackson 5
Hound Dog,Dee Dee Bridgewater
Hound Dog > Hit The Road Jack,Dee Dee Bridgewater > Casey Abrams
How Do You Like Me Now,Toby Keith
How I Let A Good Man Down,Sharon Jones & The Dap-Kings
How To Save A Life,The Fray
Hows It Going To Be,Third Eye Blind
I'd Rather Go Blind,Etta James
I Feel Good,Scary Pockets
I Had Some Help,Post Malone
I Heard It Through The Grapevine,Marvin Gaye
I Like It I Love It,Tim McGraw
I Love This Bar,Toby Keith
I Want You Back,Jackson 5
I Wanna Dance With Somebody,Whitney Houston
I Will Survive,Gloria Gaynor
I'm Not The Only One,Sam Smith
It's A Man's World,James Brown
It's Five O'Clock Somewhere,Jimmy Buffett
It's Gonna Be Me,NSYNC
Jingle Bells,
Jumper,Third Eye Blind
Just Kissed My Baby,The Meters
Kiss,Prince
Knee Deep,Zac Brown Band
Lady Marmalade,Labelle
Le Freak (Freak Out),CHIC
Leave The Door Open,Silk Sonic
Levitating,Dua Lipa
Life Is A Highway,Rascal Flatts
Love On Top,Beyoncé
Love Story,Taylor Swift
Maneater,Hall & Oates
Margaritaville,Jimmy Buffett
Mary Jane's Last Dance,Tom Petty
Me and Bobby McGee,Janis Joplin
Mockingbird,Ruston Kelly
Mr. Brightside,The Killers
Mr. Jones,Counting Crows
Needed Me,Scary Pockets
"No Diggity","Blackstreet, Dr. Dre, Queen Pen"
Nobody's Baby,Sharon Jones & The Dap-Kings
Only Wanna Be With You // Slide,Hootie & The Blowfish // Goo Goo Dolls
Parachute,Chris Stapleton
Pink Pony Club,Chappell Roan
Pride and Joy,Stevie Ray Vaughan
Proud Mary,CCR
Queen of California,John Mayer
Red Ragtop,Tim McGraw
Rehab,Amy Winehouse
Rollin in the Deep,Adele
Royals,Lorde
Santa Claus Is Coming To Town,Bruce Springsteen
Santeria,Sublime
Satisfaction,Otis Redding
Semi Charmed Life,Third Eye Blind
Set Fire to the Rain,Adele
Seven Nation Army,The White Stripes
Sex On Fire,Kings of Leon
Should've Been A Cowboy,Toby Keith
Shut Up and Dance,WALK THE MOON
Sign Sealed Delivered,Stevie Wonder
Silent Night,
Skylight,Pinegrove
Smells Like Teen Spirit,Nirvana
Smoke A Little Smoke,Eric Church
Something,The Beatles
Starting Over,Chris Stapleton
Stacy's Mom,Fountains Of Wayne
Stick Season,Noah Kahan
Sugaree,Grateful Dead
Sucker,Jonas Brothers
Summer Of 69,Bryan Adams
Super Freak,Rick James
Superstition,Stevie Wonder
Suspicious Minds,Elvis Presley
Sweet Dreams,Eurythmics
Sweet Home Alabama,Lynyrd Skynyrd
Sunday Morning,Maroon 5
Tainted Love,Scary Pockets
Teenage Dream,Katy Perry
Tennessee Whiskey,Chris Stapleton
The 12 Days of Christmas,
The Middle,Jimmy Eat World
The Thrill Is Gone,B.B. King
This Love,Maroon 5
Tighten Up,Black Keys
Tiny Dancer,Elton John
Tis So Sweet,
Toes,Zac Brown Band
Toxic/Pony,Britney Spears // Ginuwine
Tyrone,Erykah Badu
Under The Bridge,Red Hot Chili Peppers
Use Me,Bill Withers
Use Somebody,Kings of Leon
Valarie,Amy Winehouse
Wagon Wheel,Old Crow Medicine Show
Watermelon Sugar,Harry Styles
Whatever It Is,Zac Brown Band
What I Got,Sublime
What's My Age Again,Blink-182
When I Come Around,Green Day
White Horse,Chris Stapleton
Whitehouse Road,Tyler Childers
Wide Open Spaces,The Chicks
Will It Go Round In Circles,Billy Preston
Wonderwall,Oasis
Workin Day and Night,Michael Jackson
Wrong Ones,Post Malone
Year 3000,Jonas Brothers
You Know I'm No Good,Amy Winehouse
Zombie,The Cranberries
3am,Matchbox Twenty
Hold My Hand,Hootie & The Blowfish
